DATA,Max:,,80,,,262375,,,,,,,,,,,PARAMS,,,,,,,,,,,MODEL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Is_Male,Embarked_S,Embarked_C,Pclass_1,Pclass_2,Age_N,Log_Fare,Ones,,Age,SibSp,Parch,Is_Male,Embarked_S,Embarked_C,Pclass_1,Pclass_2,Const,,,Linear,Loss
0,3,male,,0,0,7.8958,C,,,,,,,,,,,,,,,,,,,,,,
1,2,female,3,1,2,"41,5792",C,0,0,1,0,1,"0,0375","1,629",1,,"0,852","0,681","0,730","0,112","0,424","0,326","0,121","0,579",,,,,
1,3,female,19,0,0,"7,8792",Q,0,0,0,0,0,"0,2375","0,948",1,,"0,719","0,726","0,323","0,259","0,843","0,764","0,575","0,503",,,,,
0,3,male,,0,0,8.05,S,,,,,,,,,,,,,,,,,,,,,,
0,3,male,,1,0,15.5,Q,,,,,,,,,,,,,,,,,,,,,,
1,3,female,,0,0,7.75,Q,,,,,,,,,,,,,,,,,,,,,,
0,3,male,,2,0,21.6792,C,,,,,,,,,,,,,,,,,,,,,,
0,3,female,18,1,0,"17,8",S,0,1,0,0,0,"0,225","1,274",1,,"0,994","0,547","0,377","0,442","0,513","0,000","0,516","0,977",,,,,
0,3,male,7,4,1,"39,6875",S,1,1,0,0,0,"0,0875","1,609",1,,"0,108","0,341","0,623","0,670","0,392","0,014","0,910","0,240",,,,,
0,3,male,21,0,0,"7,8",S,1,1,0,0,0,"0,2625","0,944",1,,"0,598","0,225","0,906","0,282","0,122","0,286","0,609","0,600",,,,,
1,1,female,49,1,0,"76,7292",C,0,0,1,1,0,"0,6125","1,891",1,,"0,334","0,921","0,434","0,443","0,014","0,419","0,402","0,738",,,,,
1,2,female,29,1,0,26,S,0,1,0,0,1,"0,3625","1,431",1,,"0,817","0,161","0,023","0,565","0,763","0,120","0,232","0,274",,,,,
0,1,male,65,0,1,"61,9792",C,1,0,1,1,0,"0,8125","1,799",1,,"0,576","0,495","0,070","0,303","0,054","0,928","0,526","0,496",,,,,
1,1,male,,0,0,35.5,S,,,,,,,,,,,,,,,,,,,,,,
1,2,female,21,0,0,"10,5",S,0,1,0,0,1,"0,2625","1,061",1,,"0,612","0,394","0,386","0,390","0,817","0,306","0,880","0,401",,,,,
0,3,male,"28,5",0,0,"7,2292",C,1,0,1,0,0,"0,35625","0,915",1,,"0,656","0,944","0,314","0,474","0,002","0,516","0,489","0,219",,,,,
1,2,female,5,1,2,"27,75",S,0,1,0,0,1,"0,0625","1,459",1,,"0,075","0,110","0,925","0,030","0,251","0,771","0,795","0,244",,,,,
0,3,male,11,5,2,"46,9",S,1,1,0,0,0,"0,1375","1,680",1,,"0,965","0,862","0,190","0,920","0,782","0,526","0,188","0,535",,,,,
0,3,male,22,0,0,"7,2292",C,1,0,1,0,0,"0,275","0,915",1,,"0,828","0,451","0,912","0,496","0,397","0,113","0,138","0,003",,,,,
1,1,female,38,0,0,80,,0,0,0,1,0,"0,475","1,908",1,,"0,504","0,563","0,790","0,191","0,373","0,067","0,967","0,659",,,,,
0,1,male,45,1,0,83475,S,1,1,0,1,0,"0,5625","4,922",1,,"0,187","0,200","0,039","0,637","0,268","0,612","0,064","0,289",,,,,
0,3,male,4,3,2,"27,9",S,1,1,0,0,0,"0,05","1,461",1,,"0,492","0,632","0,760","0,579","0,853","0,752","0,305","0,762",,,,,
0,1,male,,0,0,27.7208,C,,,,,,,,,,,,,,,,,,,,,,
1,3,male,,1,1,15.2458,C,,,,,,,,,,,,,,,,,,,,,,
1,2,female,29,0,0,"10,5",S,0,1,0,0,1,"0,3625","1,061",1,,"0,123","0,723","0,385","0,079","0,478","0,060","0,669","0,447",,,,,
0,3,male,19,0,0,"8,1583",S,1,1,0,0,0,"0,2375","0,962",1,,"0,008","0,284","0,691","0,274","0,606","0,078","0,637","0,020",,,,,
1,3,female,17,4,2,7925,S,0,1,0,0,0,"0,2125","3,899",1,,"0,843","0,746","0,233","0,277","0,391","0,611","0,152","0,628",,,,,
0,3,male,26,2,0,"8,6625",S,1,1,0,0,0,"0,325","0,985",1,,"0,018","0,869","0,374","0,045","0,468","0,634","0,979","0,138",,,,,
0,2,male,32,0,0,"10,5",S,1,1,0,0,1,"0,4","1,061",1,,"0,078","0,150","0,841","0,866","0,333","0,245","0,768","0,337",,,,,
0,3,female,16,5,2,"46,9",S,0,1,0,0,0,"0,2","1,680",1,,"0,200","0,071","0,776","0,292","0,957","0,073","0,540","0,480",,,,,
0,2,male,21,0,0,"73,5",S,1,1,0,0,1,"0,2625","1,872",1,,"0,454","0,306","0,972","0,812","0,780","0,085","0,118","0,638",,,,,
0,3,male,26,1,0,"14,4542",C,1,0,1,0,0,"0,325","1,189",1,,"0,366","0,540","0,638","0,363","0,710","0,035","0,423","0,535",,,,,
1,3,male,32,0,0,"56,4958",S,1,1,0,0,0,"0,4","1,760",1,,"0,004","0,407","0,423","0,977","0,648","0,182","0,840","0,486",,,,,
0,3,male,25,0,0,"7,65",S,1,1,0,0,0,"0,3125","0,937",1,,"0,052","0,704","0,315","0,348","0,962","0,963","0,349","0,971",,,,,
0,3,male,,0,0,7.8958,S,,,,,,,,,,,,,,,,,,,,,,
0,3,male,,0,0,8.05,S,,,,,,,,,,,,,,,,,,,,,,
1,2,male,"0,83",0,2,29,S,1,1,0,0,1,"0,010375","1,477",1,,"0,195","0,449","0,763","0,391","0,961","0,196","0,300","0,435",,,,,
1,3,female,30,0,0,12475,S,0,1,0,0,0,"0,375","4,096",1,,"0,571","0,663","0,598","0,949","0,763","0,695","0,449","0,327",,,,,
0,3,male,22,0,0,9,S,1,1,0,0,0,"0,275","1,000",1,,"0,897","0,818","0,091","0,483","0,211","0,368","0,701","0,356",,,,,
1,3,male,29,0,0,"9,5",S,1,1,0,0,0,"0,3625","1,021",1,,"0,877","0,522","0,719","0,221","0,988","0,784","0,869","0,103",,,,,
1,3,female,,0,0,7.7875,Q,,,,,,,,,,,,,,,,,,,,,,
0,1,male,28,0,0,"47,1",S,1,1,0,1,0,"0,35","1,682",1,,"0,949","0,274","0,334","0,904","0,919","0,500","0,909","0,052",,,,,
1,2,female,17,0,0,"10,5",S,0,1,0,0,1,"0,2125","1,061",1,,"0,140","0,900","0,655","0,531","0,515","0,272","0,763","0,659",,,,,
1,3,female,33,3,0,"15,85",S,0,1,0,0,0,"0,4125","1,227",1,,"0,984","0,155","0,837","0,083","0,834","0,574","0,969","0,784",,,,,
0,3,male,16,1,3,34375,S,1,1,0,0,0,"0,2","4,536",1,,"0,580","0,475","0,768","0,469","0,713","0,618","0,261","0,241",,,,,
0,3,male,,0,0,8.05,S,,,,,,,,,,,,,,,,,,,,,,
1,1,female,23,3,2,263,S,0,1,0,1,0,"0,2875","2,422",1,,"0,606","0,232","0,706","0,469","0,673","0,247","0,874","0,537",,,,,
0,3,male,24,0,0,"8,05",S,1,1,0,0,0,"0,3","0,957",1,,"0,255","0,120","0,570","0,726","0,088","0,322","0,558","0,936",,,,,
0,3,male,29,0,0,"8,05",S,1,1,0,0,0,"0,3625","0,957",1,,"0,793","0,685","0,571","0,925","0,337","0,828","0,709","0,556",,,,,
0,3,male,20,0,0,"7,8542",S,1,1,0,0,0,"0,25","0,947",1,,"0,078","0,035","0,725","0,528","0,670","0,443","0,050","0,890",,,,,
0,1,male,46,1,0,61175,S,1,1,0,1,0,"0,575","4,787",1,,"0,072","0,184","0,810","0,133","0,391","0,066","0,756","0,790",,,,,
0,3,male,26,1,2,20575,S,1,1,0,0,0,"0,325","4,313",1,,"0,046","0,278","0,595","0,700","0,855","0,431","0,232","0,450",,,,,
0,3,male,59,0,0,"7,25",S,1,1,0,0,0,"0,7375","0,916",1,,"0,904","0,434","0,484","0,268","0,400","0,101","0,029","0,638",,,,,
0,3,male,,0,0,8.05,S,,,,,,,,,,,,,,,,,,,,,,
0,1,male,71,0,0,"34,6542",C,1,0,1,1,0,"0,8875","1,552",1,,"0,302","0,912","0,790","0,555","0,834","0,235","0,129","0,544",,,,,
1,1,male,23,0,1,"63,3583",C,1,0,1,1,0,"0,2875","1,809",1,,"0,662","0,474","0,225","0,915","0,819","0,857","0,252","0,334",,,,,
1,2,female,34,0,1,23,S,0,1,0,0,1,"0,425","1,380",1,,"0,337","0,693","0,263","0,546","0,660","0,680","0,058","0,363",,,,,
0,2,male,34,1,0,26,S,1,1,0,0,1,"0,425","1,431",1,,"0,458","0,795","0,334","0,600","0,140","0,109","0,997","0,772",,,,,
0,3,female,28,0,0,"7,8958",S,0,1,0,0,0,"0,35","0,949",1,,"0,192","0,064","0,486","0,394","0,010","0,751","0,010","0,007",,,,,
0,3,male,,0,0,7.8958,S,,,,,,,,,,,,,,,,,,,,,,
0,1,male,21,0,1,"77,2875",S,1,1,0,1,0,"0,2625","1,894",1,,"0,371","0,062","0,383","0,098","0,672","0,353","0,237","0,716",,,,,
0,3,male,33,0,0,"8,6542",S,1,1,0,0,0,"0,4125","0,985",1,,"0,277","0,859","0,406","0,865","0,606","0,690","0,247","0,706",,,,,
0,3,male,37,2,0,7925,S,1,1,0,0,0,"0,4625","3,899",1,,"0,263","0,490","0,231","0,469","0,766","0,161","0,860","0,865",,,,,
0,3,male,28,0,0,"7,8958",S,1,1,0,0,0,"0,35","0,949",1,,"0,402","0,043","0,512","0,519","0,006","0,919","0,949","0,080",,,,,
1,3,female,21,0,0,"7,65",S,0,1,0,0,0,"0,2625","0,937",1,,"0,812","0,441","0,365","0,133","0,368","0,189","0,964","0,916",,,,,
1,3,male,,0,0,7775,S,,,,,,,,,,,,,,,,,,,,,,
0,3,male,38,0,0,"7,8958",S,1,1,0,0,0,"0,475","0,949",1,,"0,362","0,670","0,236","0,774","0,971","0,729","0,716","0,465",,,,,
1,3,female,,1,0,24.15,Q,,,,,,,,,,,,,,,,,,,,,,
0,1,male,47,0,0,52,S,1,1,0,1,0,"0,5875","1,724",1,,"0,918","0,661","0,176","0,480","0,996","0,436","0,484","0,526",,,,,
0,3,female,"14,5",1,0,"14,4542",C,0,0,1,0,0,"0,18125","1,189",1,,"0,676","0,985","0,322","0,230","0,444","0,244","0,038","0,193",,,,,
0,3,male,22,0,0,"8,05",S,1,1,0,0,0,"0,275","0,957",1,,"0,301","0,892","0,534","0,289","0,248","0,488","0,174","0,450",,,,,
0,3,female,20,1,0,9825,S,0,1,0,0,0,"0,25","3,992",1,,"0,839","0,992","0,478","0,481","0,265","0,780","0,728","0,862",,,,,
0,3,female,17,0,0,"14,4583",C,0,0,1,0,0,"0,2125","1,189",1,,"0,513","0,924","0,511","0,496","0,211","0,514","0,373","0,419",,,,,
0,3,male,21,0,0,7925,S,1,1,0,0,0,"0,2625","3,899",1,,"0,129","0,589","0,660","0,032","0,529","0,209","0,706","0,829",,,,,
0,3,male,"70,5",0,0,"7,75",Q,1,0,0,0,0,"0,88125","0,942",1,,"0,040","0,212","0,513","0,501","0,771","0,709","0,860","0,998",,,,,
0,2,male,29,1,0,21,S,1,1,0,0,1,"0,3625","1,342",1,,"0,353","0,472","0,575","0,982","0,254","0,086","0,073","0,460",,,,,
0,1,male,24,0,1,"247,5208",C,1,0,1,1,0,"0,3","2,395",1,,"0,295","0,822","0,224","0,011","0,755","0,465","0,878","0,171",,,,,
0,3,female,2,4,2,31275,S,0,1,0,0,0,"0,025","4,495",1,,"0,389","0,524","0,996","0,712","0,807","0,635","0,156","0,096",,,,,
0,2,male,21,2,0,"73,5",S,1,1,0,0,1,"0,2625","1,872",1,,"0,395","0,828","0,353","0,305","0,603","0,656","0,428","0,893",,,,,
0,3,male,,0,0,8.05,S,,,,,,,,,,,,,,,,,,,,,,
0,2,male,"32,5",1,0,"30,0708",C,1,0,1,0,1,"0,40625","1,492",1,,"0,980","0,296","0,753","0,158","0,195","0,747","0,722","0,537",,,,,
1,2,female,"32,5",0,0,13,S,0,1,0,0,1,"0,40625","1,146",1,,"0,251","0,657","0,149","0,083","0,229","0,116","0,123","0,594",,,,,
0,1,male,54,0,1,"77,2875",S,1,1,0,1,0,"0,675","1,894",1,,"0,862","0,394","0,659","0,662","0,581","0,918","0,791","0,720",,,,,
1,3,male,12,1,0,"11,2417",C,1,0,1,0,0,"0,15","1,088",1,,"0,599","0,206","0,286","0,343","0,889","0,256","0,539","0,623",,,,,
0,3,male,,0,0,7.75,Q,,,,,,,,,,,,,,,,,,,,,,
1,3,male,24,0,0,"7,1417",S,1,1,0,0,0,"0,3","0,911",1,,"0,334","0,705","0,408","0,531","0,686","0,648","0,533","0,988",,,,,
1,3,female,,1,1,22.3583,C,,,,,,,,,,,,,,,,,,,,,,
0,3,male,45,0,0,6975,S,1,1,0,0,0,"0,5625","3,844",1,,"0,361","0,651","0,356","0,650","0,429","0,456","0,960","0,914",,,,,
0,3,male,33,0,0,"7,8958",C,1,0,1,0,0,"0,4125","0,949",1,,"0,819","0,791","0,769","0,207","0,149","0,599","0,579","0,853",,,,,
0,3,male,20,0,0,"7,05",S,1,1,0,0,0,"0,25","0,906",1,,"0,179","0,008","0,115","0,918","0,890","0,587","0,797","0,019",,,,,
0,3,female,47,1,0,"14,5",S,0,1,0,0,0,"0,5875","1,190",1,,"0,973","0,624","0,131","0,714","0,924","0,857","0,563","0,610",,,,,
1,2,female,29,1,0,26,S,0,1,0,0,1,"0,3625","1,431",1,,"0,297","0,535","0,262","0,639","0,800","0,828","0,141","0,571",,,,,
0,2,male,25,0,0,13,S,1,1,0,0,1,"0,3125","1,146",1,,"0,652","0,770","0,549","0,365","0,258","0,323","0,591","0,507",,,,,
0,2,male,23,0,0,"15,0458",C,1,0,1,0,1,"0,2875","1,205",1,,"0,708","0,038","0,565","0,972","0,708","0,420","0,885","0,953",,,,,
1,1,female,19,0,2,"26,2833",S,0,1,0,1,0,"0,2375","1,436",1,,"0,793","0,745","0,454","0,296","0,326","0,732","0,916","0,128",,,,,
0,1,male,37,1,0,"53,1",S,1,1,0,1,0,"0,4625","1,733",1,,"0,889","0,641","0,787","0,789","0,976","0,698","0,704","0,872",,,,,
0,3,male,16,0,0,"9,2167",S,1,1,0,0,0,"0,2","1,009",1,,"0,569","0,600","0,565","0,607","0,346","0,759","0,698","0,171",,,,,
0,1,male,24,0,0,"79,2",C,1,0,1,1,0,"0,3","1,904",1,,"0,850","0,200","0,604","0,669","0,484","0,074","0,872","0,049",,,,,
0,3,female,,0,2,15.2458,C,,,,,,,,,,,,,,,,,,,,,,
1,3,female,22,0,0,"7,75",S,0,1,0,0,0,"0,275","0,942",1,,"0,974","0,069","0,263","0,453","0,559","0,356","0,738","0,448",,,,,
1,3,female,24,1,0,"15,85",S,0,1,0,0,0,"0,3","1,227",1,,"0,238","0,229","0,436","0,102","0,179","0,119","0,946","0,480",,,,,
0,3,male,19,0,0,"6,75",Q,1,0,0,0,0,"0,2375","0,889",1,,"0,585","0,883","0,194","0,853","0,600","0,080","0,038","0,806",,,,,
0,2,male,18,0,0,"11,5",S,1,1,0,0,1,"0,225","1,097",1,,"0,363","0,563","0,745","0,183","0,548","0,661","0,621","0,755",,,,,
0,2,male,19,1,1,"36,75",S,1,1,0,0,1,"0,2375","1,577",1,,"0,297","0,707","0,114","0,414","0,986","0,562","0,630","0,678",,,,,
1,3,male,27,0,0,"7,7958",S,1,1,0,0,0,"0,3375","0,944",1,,"0,244","0,485","0,466","0,671","0,003","0,415","0,127","0,916",,,,,
0,3,female,9,2,2,34375,S,0,1,0,0,0,"0,1125","4,536",1,,"0,581","0,549","0,706","0,522","0,707","0,048","0,543","0,293",,,,,
0,2,male,"36,5",0,2,26,S,1,1,0,0,1,"0,45625","1,431",1,,"0,777","0,022","0,699","0,152","0,829","0,525","0,209","0,891",,,,,
0,2,male,42,0,0,13,S,1,1,0,0,1,"0,525","1,146",1,,"0,832","0,941","0,972","0,397","0,090","0,278","0,518","0,538",,,,,
0,2,male,51,0,0,12525,S,1,1,0,0,1,"0,6375","4,098",1,,"0,441","0,800","0,950","0,424","0,548","0,185","0,441","0,366",,,,,
1,1,female,22,1,0,"66,6",S,0,1,0,1,0,"0,275","1,830",1,,"0,324","0,526","0,729","0,257","0,433","0,783","0,941","0,359",,,,,
0,3,male,"55,5",0,0,"8,05",S,1,1,0,0,0,"0,69375","0,957",1,,"0,248","0,918","0,578","0,771","0,195","0,112","0,247","0,966",,,,,
0,3,male,"40,5",0,2,"14,5",S,1,1,0,0,0,"0,50625","1,190",1,,"0,628","0,407","0,429","0,344","0,382","0,332","0,101","0,076",,,,,
0,3,male,,0,0,7.3125,S,,,,,,,,,,,,,,,,,,,,,,
0,1,male,51,0,1,"61,3792",C,1,0,1,1,0,"0,6375","1,795",1,,"0,278","0,314","0,704","0,326","0,984","0,406","0,784","0,733",,,,,
1,3,female,16,0,0,"7,7333",Q,0,0,0,0,0,"0,2","0,941",1,,"0,812","0,317","0,685","0,852","0,150","0,539","0,956","0,848",,,,,
0,3,male,30,0,0,"8,05",S,1,1,0,0,0,"0,375","0,957",1,,"0,954","0,219","0,289","0,072","0,420","0,863","0,433","0,687",,,,,
0,3,male,,0,0,8.6625,S,,,,,,,,,,,,,,,,,,,,,,
0,3,male,,8,2,69.55,S,,,,,,,,,,,,,,,,,,,,,,
0,3,male,44,0,1,"16,1",S,1,1,0,0,0,"0,55","1,233",1,,"0,354","0,896","0,795","0,482","0,096","0,532","0,248","0,894",,,,,
1,2,female,40,0,0,"15,75",S,0,1,0,0,1,"0,5","1,224",1,,"0,504","0,677","0,995","0,848","0,807","0,092","0,003","0,145",,,,,
0,3,male,26,0,0,7775,S,1,1,0,0,0,"0,325","3,891",1,,"0,566","0,266","0,381","0,658","0,494","0,516","0,357","0,842",,,,,
0,3,male,17,0,0,"8,6625",S,1,1,0,0,0,"0,2125","0,985",1,,"0,156","0,713","0,864","0,803","0,850","0,511","0,928","0,733",,,,,
0,3,male,1,4,1,"39,6875",S,1,1,0,0,0,"0,0125","1,609",1,,"0,737","0,963","0,108","0,271","0,392","0,765","0,461","0,371",,,,,
1,3,male,9,0,2,20525,S,1,1,0,0,0,"0,1125","4,312",1,,"0,324","0,061","0,691","0,842","0,449","0,346","0,566","0,011",,,,,
1,1,female,,0,1,55,S,,,,,,,,,,,,,,,,,,,,,,
0,3,female,45,1,4,"27,9",S,0,1,0,0,0,"0,5625","1,461",1,,"0,298","0,255","0,016","0,687","0,604","0,077","0,671","0,904",,,,,
0,1,male,,0,0,25925,S,,,,,,,,,,,,,,,,,,,,,,
0,3,male,28,0,0,"56,4958",S,1,1,0,0,0,"0,35","1,760",1,,"0,291","0,173","0,088","0,149","0,337","0,288","0,242","0,375",,,,,
0,1,male,61,0,0,"33,5",S,1,1,0,1,0,"0,7625","1,538",1,,"0,300","0,428","0,643","0,892","0,850","0,005","0,183","0,015",,,,,
0,3,male,4,4,1,29125,Q,1,0,0,0,0,"0,05","4,464",1,,"0,023","0,749","0,761","0,693","0,501","0,039","0,530","0,132",,,,,
1,3,female,1,1,1,"11,1333",S,0,1,0,0,0,"0,0125","1,084",1,,"0,763","0,806","0,683","0,214","0,213","0,100","0,386","0,732",,,,,
0,3,male,21,0,0,7925,S,1,1,0,0,0,"0,2625","3,899",1,,"0,139","0,121","0,191","0,115","0,846","0,557","0,548","0,392",,,,,
0,1,male,56,0,0,"30,6958",C,1,0,1,1,0,"0,7","1,501",1,,"0,758","0,781","0,331","0,630","0,446","0,943","0,259","0,831",,,,,
0,3,male,18,1,1,"7,8542",S,1,1,0,0,0,"0,225","0,947",1,,"0,928","0,906","0,969","0,923","0,662","0,489","0,190","0,925",,,,,
0,3,male,,3,1,25.4667,S,,,,,,,,,,,,,,,,,,,,,,
0,1,female,50,0,0,"28,7125",C,0,0,1,1,0,"0,625","1,473",1,,"0,945","0,660","0,267","0,348","0,584","0,451","0,158","0,272",,,,,
0,2,male,30,0,0,13,S,1,1,0,0,1,"0,375","1,146",1,,"0,913","0,851","0,261","0,425","0,840","0,583","0,082","0,987",,,,,
0,3,male,36,0,0,0,S,1,1,0,0,0,"0,45","0,000",1,,"0,300","0,033","0,481","0,939","0,355","0,057","0,787","0,014",,,,,
0,3,female,,8,2,69.55,S,,,,,,,,,,,,,,,,,,,,,,
0,2,male,,0,0,15.05,C,,,,,,,,,,,,,,,,,,,,,,
0,3,male,9,4,2,"31,3875",S,1,1,0,0,0,"0,1125","1,510",1,,"0,381","0,544","0,556","0,838","0,730","0,736","0,238","0,886",,,,,
1,2,male,1,2,1,39,S,1,1,0,0,1,"0,0125","1,602",1,,"0,272","0,241","0,316","0,155","0,102","0,139","0,363","0,670",,,,,
1,3,female,4,0,2,22025,S,0,1,0,0,0,"0,05","4,343",1,,"0,212","0,498","0,957","0,985","0,030","0,101","0,646","0,535",,,,,
0,1,male,,0,0,50,S,,,,,,,,,,,,,,,,,,,,,,
1,3,female,,1,0,15.5,Q,,,,,,,,,,,,,,,,,,,,,,
1,1,male,45,0,0,"26,55",S,1,1,0,1,0,"0,5625","1,440",1,,"0,986","0,153","0,937","0,480","0,675","0,421","0,751","0,814",,,,,
0,3,male,40,1,1,"15,5",Q,1,0,0,0,0,"0,5","1,217",1,,"0,184","0,774","0,346","0,984","0,733","0,142","0,968","0,333",,,,,
0,3,male,36,0,0,"7,8958",S,1,1,0,0,0,"0,45","0,949",1,,"0,677","0,543","0,769","0,320","0,010","0,128","0,440","0,959",,,,,
